Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
https://streams.videolan.org/samples/3D/20110805-112659-ch0.mkv,Matroska,18 s 67 ms,2 737 kb/s,1 920 pixels,480 pixels,15.000 FPS,std_test_1,9.22,0.10,361%,0:02.58
,,,,,,,std_test_2,9.51,0.08,365%,0:02.62
,,,,,,,std_test_3,9.53,0.06,364%,0:02.63
,,,,,,,tcmalloc_test_1,9.38,0.13,348%,0:02.73
,,,,,,,tcmalloc_test_2,9.54,0.09,366%,0:02.62
,,,,,,,tcmalloc_test_3,9.49,0.09,364%,0:02.63
https://streams.videolan.org/samples/Matroska/aac-sbr-ffaac-slow.mkv,Matroska,20 min 34 s,1 483 kb/s,704 pixels,400 pixels,23.976 FPS,std_test_1,34.18,0.23,359%,0:09.58
,,,,,,,std_test_2,34.24,0.20,360%,0:09.56
,,,,,,,std_test_3,34.23,0.26,361%,0:09.55
,,,,,,,tcmalloc_test_1,24.77,0.20,343%,0:07.27
,,,,,,,tcmalloc_test_2,25.14,0.18,359%,0:07.04
,,,,,,,tcmalloc_test_3,25.02,0.17,357%,0:07.04
http://download.opencontent.netflix.com.s3.amazonaws.com/aom_test_materials/aom_overlay_proxy.mp4,MPEG-4,2 s 167 ms,10.6 Mb/s,1 920 pixels,1 080 pixels,60.000 FPS,std_test_1,23.31,0.16,323%,0:07.25
,,,,,,,std_test_2,24.41,0.13,366%,0:06.69
,,,,,,,std_test_3,24.39,0.13,367%,0:06.68
,,,,,,,tcmalloc_test_1,26.14,0.15,363%,0:07.24
,,,,,,,tcmalloc_test_2,24.77,0.19,366%,0:06.81
,,,,,,,tcmalloc_test_3,24.28,0.18,354%,0:06.90
https://streams.videolan.org/samples/asf-wmv/audio_codec_problem.wmv,Windows Media,22 s 638 ms,319 kb/s,320 pixels,240 pixels,24.000 FPS,std_test_1,5.39,0.04,303%,0:01.79
,,,,,,,std_test_2,5.39,0.09,295%,0:01.85
,,,,,,,std_test_3,5.38,0.05,301%,0:01.80
